Wavelength (nm),Intensity,Elapsed Time (s),Integration Time (ms)
175.5309600830078,250.25,0.506,50.0
176.13125610351562,229.75,0.506,50.0
176.7315216064453,236.5,0.506,50.0
177.331787109375,221.25,0.506,50.0
177.93199157714844,224.25,0.506,50.0
178.5321807861328,232.0,0.506,50.0
179.13233947753906,229.75,0.506,50.0
179.73248291015625,235.25,0.506,50.0
180.33258056640625,227.5,0.506,50.0
180.93264770507812,229.0,0.506,50.0
181.53269958496094,227.0,0.506,50.0
182.13272094726562,246.75,0.506,50.0
182.7327117919922,233.5,0.506,50.0
183.33267211914062,243.75,0.506,50.0
183.93260192871094,226.0,0.506,50.0
184.53250122070312,232.5,0.506,50.0
185.1323699951172,237.25,0.506,50.0
185.7322235107422,221.25,0.506,50.0
186.33203125,239.25,0.506,50.0
186.9318389892578,232.0,0.506,50.0
187.53160095214844,235.75,0.506,50.0
188.13131713867188,232.5,0.506,50.0
188.7310333251953,241.5,0.506,50.0
189.33071899414062,236.5,0.506,50.0
189.9303741455078,234.5,0.506,50.0
190.52996826171875,232.75,0.506,50.0
191.1295623779297,228.25,0.506,50.0
191.7291259765625,225.25,0.506,50.0
192.3286590576172,231.25,0.506,50.0
192.9281768798828,234.75,0.506,50.0
193.5276336669922,227.25,0.506,50.0
194.12709045410156,243.0,0.506,50.0
194.72650146484375,224.5,0.506,50.0
195.32589721679688,240.5,0.506,50.0
195.9252471923828,232.25,0.506,50.0
196.52459716796875,234.0,0.506,50.0
197.1239013671875,226.0,0.506,50.0
197.72315979003906,237.75,0.506,50.0
198.32240295410156,223.25,0.506,50.0
198.92161560058594,234.5,0.506,50.0
199.5208282470703,247.0,0.506,50.0
200.11997985839844,230.5,0.506,50.0
200.71910095214844,237.25,0.506,50.0
201.31820678710938,231.0,0.506,50.0
201.9172821044922,239.25,0.506,50.0
202.51632690429688,237.5,0.506,50.0
203.11534118652344,230.75,0.506,50.0
203.7143096923828,234.5,0.506,50.0
204.3132781982422,242.0,0.506,50.0
204.91220092773438,230.0,0.506,50.0
205.5111083984375,243.25,0.506,50.0
206.10997009277344,219.25,0.506,50.0
206.7088165283203,229.75,0.506,50.0
207.3076171875,235.5,0.506,50.0
207.90640258789062,236.5,0.506,50.0
208.50515747070312,231.0,0.506,50.0
209.1038818359375,236.5,0.506,50.0
209.7025909423828,235.25,0.506,50.0
210.30123901367188,235.25,0.506,50.0
210.89987182617188,235.25,0.506,50.0
211.4984893798828,237.5,0.506,50.0
212.09706115722656,239.25,0.506,50.0
212.69561767578125,230.0,0.506,50.0
213.29412841796875,240.0,0.506,50.0
213.8926239013672,249.0,0.506,50.0
214.4910888671875,235.75,0.506,50.0
215.0895233154297,232.0,0.506,50.0
215.6879119873047,236.0,0.506,50.0
216.28631591796875,236.0,0.506,50.0
216.8846435546875,248.0,0.506,50.0
217.4829559326172,248.25,0.506,50.0
218.08123779296875,226.0,0.506,50.0
218.6794891357422,243.0,0.506,50.0
219.27772521972656,238.5,0.506,50.0
219.8759307861328,239.0,0.506,50.0
220.47409057617188,240.0,0.506,50.0
221.07225036621094,228.0,0.506,50.0
221.6703338623047,229.0,0.506,50.0
222.26841735839844,229.75,0.506,50.0
222.86647033691406,232.0,0.506,50.0
223.4644775390625,239.5,0.506,50.0
224.06246948242188,229.0,0.506,50.0
224.66043090820312,224.0,0.506,50.0
225.2583770751953,230.75,0.506,50.0
225.85626220703125,244.5,0.506,50.0
226.4541473388672,224.25,0.506,50.0
227.05198669433594,231.5,0.506,50.0
227.64979553222656,234.0,0.506,50.0
228.24757385253906,229.75,0.506,50.0
228.8453369140625,247.75,0.506,50.0
229.4430694580078,226.0,0.506,50.0
230.04075622558594,227.75,0.506,50.0
230.638427734375,226.5,0.506,50.0
231.23606872558594,240.75,0.506,50.0
231.83367919921875,225.75,0.506,50.0
232.43124389648438,240.0,0.506,50.0
233.02879333496094,240.75,0.506,50.0
233.6262969970703,228.75,0.506,50.0
234.2238006591797,222.25,0.506,50.0
234.82125854492188,230.75,0.506,50.0
235.41867065429688,240.0,0.506,50.0
236.01608276367188,238.75,0.506,50.0
236.61343383789062,233.25,0.506,50.0
237.21078491210938,248.0,0.506,50.0
237.80809020996094,239.75,0.506,50.0
238.4053497314453,236.5,0.506,50.0
239.0026092529297,223.25,0.506,50.0
239.59982299804688,234.5,0.506,50.0
240.197021484375,231.5,0.506,50.0
240.79417419433594,239.25,0.506,50.0
241.3913116455078,234.25,0.506,50.0
241.9884033203125,233.5,0.506,50.0
242.58546447753906,236.75,0.506,50.0
243.1824951171875,237.75,0.506,50.0
243.7794952392578,236.5,0.506,50.0
244.37649536132812,228.0,0.506,50.0
244.9734344482422,228.75,0.506,50.0
245.57037353515625,233.25,0.506,50.0
246.16725158691406,232.75,0.506,50.0
246.76409912109375,223.75,0.506,50.0
247.3609161376953,239.5,0.506,50.0
247.9577178955078,226.75,0.506,50.0
248.55447387695312,218.0,0.506,50.0
249.15122985839844,237.25,0.506,50.0
249.7479248046875,222.25,0.506,50.0
250.34461975097656,224.75,0.506,50.0
250.94125366210938,241.75,0.506,50.0
251.53787231445312,236.0,0.506,50.0
252.1344451904297,239.5,0.506,50.0
252.7310028076172,242.5,0.506,50.0
253.3275146484375,237.75,0.506,50.0
253.92401123046875,236.75,0.506,50.0
254.52049255371094,237.0,0.506,50.0
255.11691284179688,225.75,0.506,50.0
255.7133331298828,237.25,0.506,50.0
256.3096923828125,239.25,0.506,50.0
256.9060363769531,226.75,0.506,50.0
257.5023498535156,241.0,0.506,50.0
258.0986328125,228.75,0.506,50.0
258.69488525390625,230.0,0.506,50.0
259.2911376953125,237.0,0.506,50.0
259.88726806640625,231.75,0.506,50.0
260.48345947265625,234.0,0.506,50.0
261.07958984375,241.75,0.506,50.0
261.6756896972656,225.0,0.506,50.0
262.2717590332031,240.0,0.506,50.0
262.8677978515625,234.25,0.506,50.0
263.4637756347656,229.0,0.506,50.0
264.05975341796875,238.25,0.506,50.0
264.6557312011719,232.5,0.506,50.0
265.2516174316406,237.5,0.506,50.0
265.8475036621094,228.5,0.506,50.0
266.443359375,219.0,0.506,50.0
267.0391845703125,242.5,0.506,50.0
267.6349792480469,246.25,0.506,50.0
268.2307434082031,220.75,0.506,50.0
268.8265075683594,243.25,0.506,50.0
269.4221496582031,229.5,0.506,50.0
270.0178527832031,232.75,0.506,50.0
270.6134948730469,240.5,0.506,50.0
271.2091064453125,239.25,0.506,50.0
271.8046569824219,234.0,0.506,50.0
272.40020751953125,236.75,0.506,50.0
272.9957275390625,229.75,0.506,50.0
273.5912170410156,228.75,0.506,50.0
274.1866455078125,225.0,0.506,50.0
274.78204345703125,226.0,0.506,50.0
275.37750244140625,237.75,0.506,50.0
275.97283935546875,234.25,0.506,50.0
276.56817626953125,242.75,0.506,50.0
277.1634521484375,241.5,0.506,50.0
277.75872802734375,222.0,0.506,50.0
278.35394287109375,223.25,0.506,50.0
278.94915771484375,227.0,0.506,50.0
279.5443420410156,230.25,0.506,50.0
280.1394958496094,226.75,0.506,50.0
280.734619140625,230.0,0.506,50.0
281.3296813964844,228.0,0.506,50.0
281.9247131347656,229.0,0.506,50.0
282.51971435546875,231.0,0.506,50.0
283.11474609375,232.75,0.506,50.0
283.709716796875,220.0,0.506,50.0
284.3045959472656,219.0,0.506,50.0
284.8995056152344,222.0,0.506,50.0
285.494384765625,231.5,0.506,50.0
286.0892028808594,226.25,0.506,50.0
286.68402099609375,225.0,0.506,50.0
287.2787780761719,241.0,0.506,50.0
287.8735046386719,227.0,0.506,50.0
288.4682312011719,233.75,0.506,50.0
289.0628967285156,238.5,0.506,50.0
289.65753173828125,235.0,0.506,50.0
290.25213623046875,231.5,0.506,50.0
290.8467102050781,235.5,0.506,50.0
291.4412536621094,232.25,0.506,50.0
292.0357971191406,228.25,0.506,50.0
292.6302795410156,245.5,0.506,50.0
293.2247314453125,224.25,0.506,50.0
293.81915283203125,228.75,0.506,50.0
294.41357421875,237.5,0.506,50.0
295.0079345703125,242.0,0.506,50.0
295.60223388671875,236.75,0.506,50.0
296.196533203125,231.0,0.506,50.0
296.7908020019531,218.75,0.506,50.0
297.3850402832031,229.75,0.506,50.0
297.979248046875,241.0,0.506,50.0
298.5734558105469,226.25,0.506,50.0
299.16754150390625,229.5,0.506,50.0
299.7616882324219,232.75,0.506,50.0
300.3557434082031,230.25,0.506,50.0
300.9497985839844,229.5,0.506,50.0
301.5437927246094,218.0,0.506,50.0
302.1377868652344,224.25,0.506,50.0
302.7317199707031,228.75,0.506,50.0
303.3256530761719,229.5,0.506,50.0
303.9195861816406,223.75,0.506,50.0
304.51336669921875,242.5,0.506,50.0
305.10723876953125,237.0,0.506,50.0
305.7010192871094,229.75,0.506,50.0
306.2947692871094,220.75,0.506,50.0
306.88848876953125,220.25,0.506,50.0
307.482177734375,244.75,0.506,50.0
308.0758972167969,227.5,0.506,50.0
308.66949462890625,228.75,0.506,50.0
309.2630920410156,236.25,0.506,50.0
309.8566589355469,235.0,0.506,50.0
310.4501953125,227.75,0.506,50.0
311.0437316894531,213.75,0.506,50.0
311.63720703125,227.25,0.506,50.0
312.2306213378906,221.5,0.506,50.0
312.82403564453125,242.0,0.506,50.0
313.41741943359375,234.75,0.506,50.0
314.0107421875,221.75,0.506,50.0
314.60406494140625,230.0,0.506,50.0
315.1973571777344,244.75,0.506,50.0
315.7906188964844,240.5,0.506,50.0
316.3838195800781,233.25,0.506,50.0
