Wavelength (nm),Intensity,Elapsed Time (s),Integration Time (ms)
383.7963562011719,237.25,0.503,50.0
384.3857727050781,224.25,0.503,50.0
384.97515869140625,223.75,0.503,50.0
385.5644836425781,236.75,0.503,50.0
386.1538391113281,225.5,0.503,50.0
386.74310302734375,230.5,0.503,50.0
387.3323669433594,238.5,0.503,50.0
387.9215393066406,226.75,0.503,50.0
388.5107727050781,220.25,0.503,50.0
389.0999450683594,232.25,0.503,50.0
389.68902587890625,230.25,0.503,50.0
390.2781066894531,234.25,0.503,50.0
390.8671569824219,222.75,0.503,50.0
391.4562072753906,217.0,0.503,50.0
392.0451354980469,234.5,0.503,50.0
392.6341247558594,238.0,0.503,50.0
393.2230224609375,236.5,0.503,50.0
393.8118896484375,226.75,0.503,50.0
394.4007263183594,218.5,0.503,50.0
394.9895324707031,234.75,0.503,50.0
395.5783386230469,225.5,0.503,50.0
396.16705322265625,239.25,0.503,50.0
396.7557678222656,231.25,0.503,50.0
397.34442138671875,222.25,0.503,50.0
397.9330749511719,244.25,0.503,50.0
398.52166748046875,249.25,0.503,50.0
399.1102294921875,224.0,0.503,50.0
399.6987609863281,221.5,0.503,50.0
400.2872619628906,226.5,0.503,50.0
400.875732421875,233.5,0.503,50.0
401.4641418457031,232.0,0.503,50.0
402.0525817871094,227.0,0.503,50.0
402.64093017578125,230.25,0.503,50.0
403.229248046875,243.75,0.503,50.0
403.8175354003906,240.25,0.503,50.0
404.4057922363281,271.5,0.503,50.0
404.9939880371094,263.0,0.503,50.0
405.5821838378906,243.0,0.503,50.0
406.1703796386719,233.25,0.503,50.0
406.75848388671875,222.5,0.503,50.0
407.3465881347656,227.25,0.503,50.0
407.93463134765625,242.5,0.503,50.0
408.52264404296875,235.5,0.503,50.0
409.1106262207031,233.0,0.503,50.0
409.69854736328125,239.25,0.503,50.0
410.2864685058594,241.0,0.503,50.0
410.8743591308594,229.75,0.503,50.0
411.4621887207031,224.75,0.503,50.0
412.04998779296875,240.5,0.503,50.0
412.63775634765625,231.0,0.503,50.0
413.22552490234375,243.0,0.503,50.0
413.813232421875,244.25,0.503,50.0
414.40087890625,239.25,0.503,50.0
414.988525390625,230.25,0.503,50.0
415.5761413574219,235.0,0.503,50.0
416.1636657714844,226.0,0.503,50.0
416.751220703125,234.5,0.503,50.0
417.3387145996094,232.0,0.503,50.0
417.9261474609375,234.0,0.503,50.0
418.51361083984375,237.5,0.503,50.0
419.1009826660156,237.0,0.503,50.0
419.6883850097656,243.25,0.503,50.0
420.275634765625,241.5,0.503,50.0
420.86297607421875,241.0,0.503,50.0
421.4501953125,231.75,0.503,50.0
422.0374450683594,240.5,0.503,50.0
422.6246032714844,254.0,0.503,50.0
423.2117614746094,242.25,0.503,50.0
423.7988586425781,236.0,0.503,50.0
424.38592529296875,240.25,0.503,50.0
424.9729919433594,252.25,0.503,50.0
425.5599670410156,249.0,0.503,50.0
426.14697265625,244.0,0.503,50.0
426.7338562011719,238.0,0.503,50.0
427.32080078125,229.5,0.503,50.0
427.90765380859375,256.5,0.503,50.0
428.4944763183594,262.5,0.503,50.0
429.081298828125,248.5,0.503,50.0
429.6679992675781,252.0,0.503,50.0
430.2547607421875,243.75,0.503,50.0
430.8414306640625,255.75,0.503,50.0
431.4281005859375,253.75,0.503,50.0
432.0146789550781,265.75,0.503,50.0
432.601318359375,253.5,0.503,50.0
433.1878662109375,263.75,0.503,50.0
433.77435302734375,266.75,0.503,50.0
434.3608703613281,279.25,0.503,50.0
434.947265625,310.75,0.503,50.0
435.5337219238281,409.75,0.503,50.0
436.1200256347656,361.25,0.503,50.0
436.7063903808594,271.25,0.503,50.0
437.29266357421875,276.5,0.503,50.0
437.87896728515625,272.75,0.503,50.0
438.4652099609375,269.75,0.503,50.0
439.0513916015625,287.5,0.503,50.0
439.6375732421875,262.5,0.503,50.0
440.2236328125,270.25,0.503,50.0
440.80975341796875,271.25,0.503,50.0
441.3957824707031,273.25,0.503,50.0
441.9818115234375,286.75,0.503,50.0
442.5677490234375,290.25,0.503,50.0
443.15374755859375,276.5,0.503,50.0
443.73968505859375,279.5,0.503,50.0
444.32550048828125,283.0,0.503,50.0
444.911376953125,279.75,0.503,50.0
445.4971618652344,294.5,0.503,50.0
446.08294677734375,289.75,0.503,50.0
446.66864013671875,293.75,0.503,50.0
447.2543640136719,297.0,0.503,50.0
447.8400573730469,308.75,0.503,50.0
448.4256286621094,316.75,0.503,50.0
449.0112609863281,293.75,0.503,50.0
449.5967712402344,310.25,0.503,50.0
450.18231201171875,308.5,0.503,50.0
450.76776123046875,318.25,0.503,50.0
451.3532409667969,316.25,0.503,50.0
451.9385986328125,311.75,0.503,50.0
452.5240173339844,308.5,0.503,50.0
453.109375,308.25,0.503,50.0
453.69464111328125,303.0,0.503,50.0
454.2799377441406,315.0,0.503,50.0
454.8651428222656,322.25,0.503,50.0
455.4503479003906,324.75,0.503,50.0
456.03546142578125,311.0,0.503,50.0
456.6206359863281,297.5,0.503,50.0
457.20574951171875,327.5,0.503,50.0
457.7907409667969,307.5,0.503,50.0
458.37579345703125,316.75,0.503,50.0
458.9607238769531,291.0,0.503,50.0
459.54571533203125,284.75,0.503,50.0
460.1305847167969,287.25,0.503,50.0
460.7154846191406,289.75,0.503,50.0
461.30029296875,286.75,0.503,50.0
461.8851318359375,287.0,0.503,50.0
462.46990966796875,283.25,0.503,50.0
463.0545959472656,276.5,0.503,50.0
463.6393127441406,278.25,0.503,50.0
464.2239074707031,275.75,0.503,50.0
464.80859375,279.5,0.503,50.0
465.39312744140625,279.0,0.503,50.0
465.9776611328125,275.75,0.503,50.0
466.5621643066406,281.0,0.503,50.0
467.14666748046875,291.25,0.503,50.0
467.7311096191406,294.75,0.503,50.0
468.31549072265625,292.0,0.503,50.0
468.8998718261719,284.75,0.503,50.0
469.4841613769531,282.0,0.503,50.0
470.0684814453125,285.5,0.503,50.0
470.6527099609375,265.25,0.503,50.0
471.2369384765625,288.5,0.503,50.0
471.8211669921875,285.25,0.503,50.0
472.4052734375,268.5,0.503,50.0
472.9894104003906,282.25,0.503,50.0
473.5734558105469,281.0,0.503,50.0
474.1575012207031,284.75,0.503,50.0
474.7414855957031,273.5,0.503,50.0
475.3254699707031,290.25,0.503,50.0
475.9093933105469,276.5,0.503,50.0
476.4932556152344,279.5,0.503,50.0
477.0771484375,287.25,0.503,50.0
477.66094970703125,287.75,0.503,50.0
478.2447509765625,267.5,0.503,50.0
478.8284912109375,278.75,0.503,50.0
479.4122009277344,282.25,0.503,50.0
479.9958190917969,301.5,0.503,50.0
480.5794982910156,288.75,0.503,50.0
481.1630554199219,273.75,0.503,50.0
481.7466735839844,280.25,0.503,50.0
482.3302001953125,280.0,0.503,50.0
482.9136657714844,297.25,0.503,50.0
483.49713134765625,291.25,0.503,50.0
484.08050537109375,298.25,0.503,50.0
484.6639099121094,292.0,0.503,50.0
485.2472229003906,314.0,0.503,50.0
485.8305358886719,315.0,0.503,50.0
486.4138488769531,306.5,0.503,50.0
486.9970397949219,314.5,0.503,50.0
487.58026123046875,313.0,0.503,50.0
488.16339111328125,303.5,0.503,50.0
488.74652099609375,312.5,0.503,50.0
489.3295593261719,322.75,0.503,50.0
489.91265869140625,305.75,0.503,50.0
490.4956359863281,301.5,0.503,50.0
491.0786437988281,301.75,0.503,50.0
491.6615905761719,314.25,0.503,50.0
492.24444580078125,323.25,0.503,50.0
492.82733154296875,317.75,0.503,50.0
493.4101257324219,301.75,0.503,50.0
493.9929504394531,317.25,0.503,50.0
494.57568359375,316.0,0.503,50.0
495.1584167480469,310.0,0.503,50.0
495.7410888671875,309.25,0.503,50.0
496.32373046875,301.75,0.503,50.0
496.9063415527344,314.5,0.503,50.0
497.4888916015625,304.5,0.503,50.0
498.0714111328125,308.5,0.503,50.0
498.65386962890625,301.5,0.503,50.0
499.2363586425781,311.25,0.503,50.0
499.8187561035156,293.25,0.503,50.0
500.4011535644531,309.75,0.503,50.0
500.9835205078125,305.75,0.503,50.0
501.5657958984375,307.75,0.503,50.0
502.1480712890625,304.0,0.503,50.0
502.73028564453125,299.5,0.503,50.0
503.3125,301.75,0.503,50.0
503.8946228027344,291.75,0.503,50.0
504.4767761230469,311.25,0.503,50.0
505.0588073730469,308.0,0.503,50.0
505.6408996582031,314.75,0.503,50.0
506.2229309082031,315.25,0.503,50.0
506.8048400878906,315.75,0.503,50.0
507.3868103027344,317.0,0.503,50.0
507.96868896484375,306.0,0.503,50.0
508.5505676269531,312.75,0.503,50.0
509.1323547363281,305.0,0.503,50.0
509.7141418457031,297.25,0.503,50.0
510.2959289550781,308.0,0.503,50.0
510.8775939941406,312.5,0.503,50.0
511.45928955078125,305.75,0.503,50.0
512.0408935546875,316.0,0.503,50.0
512.62255859375,334.0,0.503,50.0
513.2040405273438,320.5,0.503,50.0
513.7855834960938,313.25,0.503,50.0
514.3670043945312,318.25,0.503,50.0
514.948486328125,332.0,0.503,50.0
515.5299682617188,314.5,0.503,50.0
516.111328125,321.75,0.503,50.0
516.692626953125,311.0,0.503,50.0
517.2738647460938,302.0,0.503,50.0
517.8551635742188,315.0,0.503,50.0
518.4363403320312,304.75,0.503,50.0
519.017578125,321.75,0.503,50.0
519.5986938476562,323.0,0.503,50.0
520.1798095703125,318.0,0.503,50.0
520.7609252929688,326.5,0.503,50.0
521.3419189453125,315.75,0.503,50.0
521.9229125976562,317.75,0.503,50.0
522.5038452148438,320.5,0.503,50.0
523.0848388671875,319.0,0.503,50.0
523.6656494140625,337.25,0.503,50.0
524.2465209960938,339.25,0.503,50.0
524.8273315429688,320.75,0.503,50.0
525.4080810546875,321.25,0.503,50.0
525.9888305664062,325.5,0.503,50.0
526.5695190429688,326.5,0.503,50.0
527.150146484375,324.5,0.503,50.0
527.7307739257812,322.25,0.503,50.0
528.3113403320312,330.0,0.503,50.0
528.891845703125,341.25,0.503,50.0
529.4723510742188,342.75,0.503,50.0
530.0528564453125,332.25,0.503,50.0
530.6332397460938,325.0,0.503,50.0
531.213623046875,321.0,0.503,50.0
531.7939453125,324.0,0.503,50.0
532.3743286132812,342.75,0.503,50.0
532.95458984375,331.0,0.503,50.0
533.5347900390625,330.5,0.503,50.0
534.114990234375,334.0,0.503,50.0
534.6951904296875,335.0,0.503,50.0
535.2752685546875,314.75,0.503,50.0
535.8553466796875,377.0,0.503,50.0
536.4354248046875,335.25,0.503,50.0
537.015380859375,341.0,0.503,50.0
537.5953979492188,360.0,0.503,50.0
538.1752319335938,347.75,0.503,50.0
538.7551879882812,376.0,0.503,50.0
539.3350830078125,383.5,0.503,50.0
539.9148559570312,379.0,0.503,50.0
540.49462890625,407.0,0.503,50.0
541.0742797851562,444.25,0.503,50.0
541.654052734375,469.0,0.503,50.0
542.233642578125,482.25,0.503,50.0
542.8133544921875,491.5,0.503,50.0
543.3928833007812,464.5,0.503,50.0
543.9724731445312,476.0,0.503,50.0
544.552001953125,468.5,0.503,50.0
545.1314086914062,540.0,0.503,50.0
545.7108764648438,651.75,0.503,50.0
546.2902221679688,593.25,0.503,50.0
546.8695678710938,444.0,0.503,50.0
547.4488525390625,402.75,0.503,50.0
548.0281982421875,385.5,0.503,50.0
548.6074829101562,388.75,0.503,50.0
549.1866455078125,368.5,0.503,50.0
549.7658081054688,380.0,0.503,50.0
550.3449096679688,374.75,0.503,50.0
550.9240112304688,349.25,0.503,50.0
551.5030517578125,348.75,0.503,50.0
552.08203125,353.25,0.503,50.0
552.6610107421875,367.0,0.503,50.0
553.2399291992188,331.75,0.503,50.0
553.81884765625,345.0,0.503,50.0
554.397705078125,329.75,0.503,50.0
554.9765014648438,331.5,0.503,50.0
555.5552368164062,338.0,0.503,50.0
556.1339721679688,337.25,0.503,50.0
556.712646484375,329.5,0.503,50.0
557.2913208007812,325.75,0.503,50.0
557.8699340820312,323.25,0.503,50.0
558.448486328125,331.0,0.503,50.0
559.027099609375,322.0,0.503,50.0
559.6055297851562,322.75,0.503,50.0
560.1840209960938,333.75,0.503,50.0
560.762451171875,312.0,0.503,50.0
561.3408813476562,344.0,0.503,50.0
561.9191284179688,338.5,0.503,50.0
562.4974975585938,323.25,0.503,50.0
563.0758056640625,350.75,0.503,50.0
563.6539916992188,321.0,0.503,50.0
564.232177734375,324.0,0.503,50.0
564.8103637695312,332.25,0.503,50.0
565.388427734375,331.5,0.503,50.0
565.966552734375,324.75,0.503,50.0
566.5445556640625,322.5,0.503,50.0
567.12255859375,342.0,0.503,50.0
567.7005004882812,320.5,0.503,50.0
568.2784423828125,321.75,0.503,50.0
568.8563232421875,310.25,0.503,50.0
569.4341430664062,336.75,0.503,50.0
570.0119018554688,324.0,0.503,50.0
570.5897216796875,329.75,0.503,50.0
571.1674194335938,326.25,0.503,50.0
571.7451171875,321.0,0.503,50.0
572.3226928710938,331.25,0.503,50.0
572.900390625,311.0,0.503,50.0
573.4779663085938,326.75,0.503,50.0
574.055419921875,311.0,0.503,50.0
574.6329345703125,324.5,0.503,50.0
575.2103881835938,324.5,0.503,50.0
575.7877807617188,339.0,0.503,50.0
